Price;Up or Down;Volume;High;Low;EMA(Price);Typical;RMF(in M);MFR;MFR Index;PVI;EMA(PVI);NVI;EMA(NVI);OSCP;RMF;MFI;Bollinger Up;Bollinger Down;bollOsc;gainLoss;RSI;Stochastic Osc;Marron;Verde;Azul
15.935;1;6369860;16.035;15.51;16.55463111;1321.03;-8414.75;0.73;42.17;1000.49;1019.45;999.51;1015.96;-11.58;1.00E+10;42.17;17.58;15.56;-31.4;0.31;42.07;20.68;29.87;18.29;-40.18
15.76;-1;5519733;16.065;15.74;16.475168;1328.37;-7332.27;0.58;36.64;1000.49;1017.88;998.41;1012.61;-10.42;-8.41E+09;36.64;17.59;15.53;-38.72;-0.175;39.49;12.17;20.73;10.31;-53.67
15.735;-1;5709738;16.14;15.735;16.4011512;1332.04;7605.57;0.57;36.48;1000.33;1016.31;998.41;1009.6;-10.49;-7.33E+09;36.48;17.6;15.5;-38.8;-0.025;39.12;10.95;20.23;9.73;-48.3
15.99;1;3845771;16.1;15.725;16.36003608;1349.41;-5189.52;0.57;36.33;1000.33;1014.9;1000.03;1008.49;-9.45;7.61E+09;36.33;17.61;15.5;-26.65;0.255;44.79;23.36;31.13;21.68;-17.92
15.725;-1;3439957;15.99;15.625;16.29653247;1309.6;4504.96;0.6;37.34;1000.33;1013.63;998.37;1005.83;-8.5;-5.19E+09;37.34;17.62;15.46;-37.69;-0.265;40.56;10.46;21.85;13.35;-42.68
15.955;1;3837486;16.03;15.68;16.26237923;1336.77;5129.82;0.53;34.73;1001.79;1013.95;998.37;1003.43;2.64;4.50E+09;34.73;17.62;15.45;-26.89;0.23;45.38;21.65;30.22;32.86;-38.41
16;1;5245289;16.08;15.91;16.2361413;1364.44;-7156.89;0.49;33.02;1002.07;1014.53;998.37;1001.28;4.36;5.13E+09;33.02;17.63;15.43;-24.12;0.045;46.3;23.84;31.57;35.93;-34.57
15.8;-1;5920722;16.08;15.665;16.19252717;1326.64;-7854.65;0.3;23.03;1000.82;1013.78;998.37;999.34;-4.87;-7.16E+09;23.03;17.64;15.37;-31.06;-0.2;42.85;14.11;19.76;14.89;-31.11
15.38;-1;9590004;15.735;15.36;16.11127446;1256.79;-12052.58;0.28;22.01;998.17;1010.42;998.37;997.59;-23.09;-7.85E+09;22.04;17.66;15.28;-44.31;-0.42;36.68;1.03;7.38;-15.71;-28
15.45;1;4318770;15.52;15.155;16.04514701;1211.31;5231.36;0.31;23.44;998.17;1007.4;998.83;996.47;-20.78;-1.21E+10;28.22;17.68;15.17;-37.89;0.07;38.28;13.92;16.62;-4.15;-18.03
