bs:1, ts:1, t.e.:9.00, epochs:10
bs:2, ts:1, t.e.:6.00, epochs:10
bs:4, ts:1, t.e.:6.00, epochs:10
bs:6, ts:1, t.e.:6.00, epochs:10
bs:8, ts:1, t.e.:8.00, epochs:10
bs:1, ts:2, t.e.:6.00, epochs:10
bs:2, ts:2, t.e.:3.00, epochs:10
bs:4, ts:2, t.e.:4.00, epochs:10
bs:6, ts:2, t.e.:6.00, epochs:10
bs:8, ts:2, t.e.:5.00, epochs:10
bs:1, ts:4, t.e.:5.00, epochs:10
bs:2, ts:4, t.e.:8.00, epochs:10
bs:4, ts:4, t.e.:5.00, epochs:10
bs:6, ts:4, t.e.:6.00, epochs:10
bs:8, ts:4, t.e.:7.00, epochs:10
bs:1, ts:6, t.e.:4.00, epochs:10
bs:2, ts:6, t.e.:3.00, epochs:10
bs:4, ts:6, t.e.:4.00, epochs:10
bs:6, ts:6, t.e.:4.00, epochs:10
bs:8, ts:6, t.e.:4.00, epochs:10
bs:1, ts:8, t.e.:3.00, epochs:10
bs:2, ts:8, t.e.:3.00, epochs:10
bs:4, ts:8, t.e.:2.00, epochs:10
bs:6, ts:8, t.e.:1.00, epochs:10
bs:8, ts:8, t.e.:3.00, epochs:10
